,Repository,Clone URL,Stars,Size,Mentionable Users,Commits,Language,Bus Factor,Execution time series
184,labmlai/annotated_deep_learning_paper_implementations,https://github.com/labmlai/annotated_deep_learning_paper_implementations.git,22717,149690,19,141,Jupyter Notebook,0,0.0
185,react-navigation/react-navigation,https://github.com/react-navigation/react-navigation.git,22435,60973,185,1955,TypeScript,0,0.0
186,Chanzhaoyu/chatgpt-web,https://github.com/Chanzhaoyu/chatgpt-web.git,22434,5774,71,368,Vue,0,0.0
187,zloirock/core-js,https://github.com/zloirock/core-js.git,22354,39810,119,1544,JavaScript,0,0.0
188,colinhacks/zod,https://github.com/colinhacks/zod.git,22211,4890,236,612,TypeScript,0,0.0
189,marmelab/react-admin,https://github.com/marmelab/react-admin.git,22174,368824,550,5257,TypeScript,0,0.0
190,google/gson,https://github.com/google/gson.git,22132,12058,154,221,Java,0,0.0
191,usablica/intro.js,https://github.com/usablica/intro.js.git,22002,45027,99,221,HTML,0,0.0
192,facebook/flow,https://github.com/facebook/flow.git,21979,119004,846,3165,OCaml,0,0.0
193,withfig/autocomplete,https://github.com/withfig/autocomplete.git,21970,25087,394,2124,TypeScript,0,0.0
195,hwdsl2/setup-ipsec-vpn,https://github.com/hwdsl2/setup-ipsec-vpn.git,21928,7353,20,419,Shell,0,0.0
196,termux/termux-app,https://github.com/termux/termux-app.git,21850,4331,75,253,Java,0,0.0
197,telegramdesktop/tdesktop,https://github.com/telegramdesktop/tdesktop.git,21834,202290,156,3698,C++,0,0.0
198,freqtrade/freqtrade,https://github.com/freqtrade/freqtrade.git,21686,169882,266,7024,Python,0,0.0
199,zyedidia/micro,https://github.com/zyedidia/micro.git,21569,12773,266,124,Go,0,0.0
200,chubin/wttr.in,https://github.com/chubin/wttr.in.git,21560,1638,164,101,Python,0,0.0
201,tmux/tmux,https://github.com/tmux/tmux.git,29033,16950,7,395,C,0,0.0
202,jgm/pandoc,https://github.com/jgm/pandoc.git,28932,61724,464,1641,Haskell,0,0.0
203,ReactiveX/rxjs,https://github.com/ReactiveX/rxjs.git,28909,125149,544,394,TypeScript,0,0.0
205,square/leakcanary,https://github.com/square/leakcanary.git,28457,139457,165,412,Kotlin,0,0.0
206,airbnb/lottie-web,https://github.com/airbnb/lottie-web.git,28439,397139,108,174,JavaScript,0,0.0
207,WerWolv/ImHex,https://github.com/WerWolv/ImHex.git,28373,25170,95,1729,C++,0,0.0
208,symfony/symfony,https://github.com/symfony/symfony.git,28350,253540,2778,6471,PHP,0,0.0
210,coreybutler/nvm-windows,https://github.com/coreybutler/nvm-windows.git,28178,33148,71,111,Go,0,0.0
211,Kong/insomnia,https://github.com/Kong/insomnia.git,28173,117496,308,866,JavaScript,0,0.0
212,apolloconfig/apollo,https://github.com/apolloconfig/apollo.git,28075,52511,142,216,Java,0,0.0
213,ggerganov/llama.cpp,https://github.com/ggerganov/llama.cpp.git,27954,2586,173,583,C,0,0.0
214,sequelize/sequelize,https://github.com/sequelize/sequelize.git,27912,43733,1049,1108,JavaScript,0,0.0
215,httpie/httpie,https://github.com/httpie/httpie.git,27809,6925,147,240,Python,0,0.0
216,yuzu-emu/yuzu,https://github.com/yuzu-emu/yuzu.git,27763,84827,248,3641,C++,0,0.0
217,quasarframework/quasar,https://github.com/quasarframework/quasar.git,23540,291081,640,2037,JavaScript,0,0.0
218,rome/tools,https://github.com/rome/tools.git,23538,143520,215,1643,Rust,0,0.0
219,haizlin/fe-interview,https://github.com/haizlin/fe-interview.git,23535,6656,6,468,JavaScript,0,0.0
220,qier222/YesPlayMusic,https://github.com/qier222/YesPlayMusic.git,23529,48244,53,145,Vue,0,0.0
221,angular/components,https://github.com/angular/components.git,23506,100498,704,1643,TypeScript,0,0.0
222,remix-run/remix,https://github.com/remix-run/remix.git,23488,37263,954,3118,TypeScript,0,0.0
223,matteocrippa/awesome-swift,https://github.com/matteocrippa/awesome-swift.git,23300,6931,614,160,Ruby,0,0.0
224,gitlabhq/gitlabhq,https://github.com/gitlabhq/gitlabhq.git,23260,1456850,1979,3374,Ruby,0,0.0
225,dotnet-architecture/eShopOnContainers,https://github.com/dotnet-architecture/eShopOnContainers.git,23247,659437,177,317,C#,0,0.0
226,StevenBlack/hosts,https://github.com/StevenBlack/hosts.git,22941,705539,133,664,Python,0,0.0
227,nicolargo/glances,https://github.com/nicolargo/glances.git,22842,38342,150,798,Python,0,0.0
228,vapor/vapor,https://github.com/vapor/vapor.git,22834,16632,246,141,Swift,0,0.0
229,reduxjs/react-redux,https://github.com/reduxjs/react-redux.git,22795,8800,279,131,TypeScript,0,0.0
230,lutzroeder/netron,https://github.com/lutzroeder/netron.git,22756,37918,1,1814,JavaScript,0,0.0
231,eslint/eslint,https://github.com/eslint/eslint.git,22698,39576,952,709,JavaScript,0,0.0
232,tachiyomiorg/tachiyomi,https://github.com/tachiyomiorg/tachiyomi.git,22674,52796,570,1825,Kotlin,0,0.0
233,reworkd/AgentGPT,https://github.com/reworkd/AgentGPT.git,22596,19924,41,659,TypeScript,0,0.0
234,v2fly/v2ray-core,https://github.com/v2fly/v2ray-core.git,22585,68205,130,325,Go,0,0.0
235,fingerprintjs/fingerprintjs,https://github.com/fingerprintjs/fingerprintjs.git,19016,2657,88,111,TypeScript,0,0.0
236,milvus-io/milvus,https://github.com/milvus-io/milvus.git,18764,155386,205,5589,Go,0,0.0
237,plotly/dash,https://github.com/plotly/dash.git,18718,142203,164,1233,Python,0,0.0
238,microsoft/vcpkg,https://github.com/microsoft/vcpkg.git,18692,73099,1748,4321,CMake,0,0.0
239,spmallick/learnopencv,https://github.com/spmallick/learnopencv.git,18571,2210006,73,712,Jupyter Notebook,0,0.0
240,mybatis/mybatis-3,https://github.com/mybatis/mybatis-3.git,18509,132186,206,744,Java,0,0.0
241,crystal-lang/crystal,https://github.com/crystal-lang/crystal.git,18492,59043,480,1096,Crystal,0,0.0
242,elastic/kibana,https://github.com/elastic/kibana.git,18476,5069802,2329,15039,TypeScript,0,0.0
243,nginx/nginx,https://github.com/nginx/nginx.git,18455,76529,69,375,C,0,0.0
244,jina-ai/jina,https://github.com/jina-ai/jina.git,18383,998104,178,1608,Python,0,0.0
245,Budibase/budibase,https://github.com/Budibase/budibase.git,18357,336055,75,12840,TypeScript,0,0.0
246,spaceship-prompt/spaceship-prompt,https://github.com/spaceship-prompt/spaceship-prompt.git,18287,10071,162,478,Shell,0,0.0
247,bcit-ci/CodeIgniter,https://github.com/bcit-ci/CodeIgniter.git,18215,54786,493,116,PHP,0,0.0
248,sqlitebrowser/sqlitebrowser,https://github.com/sqlitebrowser/sqlitebrowser.git,18158,28797,141,173,C++,0,0.0
249,grpc/grpc-go,https://github.com/grpc/grpc-go.git,18093,22268,423,587,Go,0,0.0
250,radareorg/radare2,https://github.com/radareorg/radare2.git,18075,168021,871,3418,C,0,0.0
251,cloudreve/Cloudreve,https://github.com/cloudreve/Cloudreve.git,18038,7753,40,297,Go,0,0.0
252,JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR.git,18038,156566,106,119,Python,0,0.0
253,arendst/Tasmota,https://github.com/arendst/Tasmota.git,19706,180295,286,4231,C,0,0.0
254,quii/learn-go-with-tests,https://github.com/quii/learn-go-with-tests.git,19630,9225,209,158,Go,0,0.0
255,phoenixframework/phoenix,https://github.com/phoenixframework/phoenix.git,19500,20164,1107,728,Elixir,0,0.0
256,Textualize/textual,https://github.com/Textualize/textual.git,19376,211292,78,5930,Python,0,0.0
257,GeekyAnts/NativeBase,https://github.com/GeekyAnts/NativeBase.git,19345,73279,232,1521,TypeScript,0,0.0
